BRTH_YR,ETHCTY,NAME,CNT
2011,ASIAN AND PACIFIC ISLANDER,ABIGAIL,24
2011,ASIAN AND PACIFIC ISLANDER,ADA,13
2011,ASIAN AND PACIFIC ISLANDER,AISHA,13
2011,ASIAN AND PACIFIC ISLANDER,AIZA,10
2011,ASIAN AND PACIFIC ISLANDER,ALEENA,12
2011,ASIAN AND PACIFIC ISLANDER,ALEXA,10
2011,ASIAN AND PACIFIC ISLANDER,ALEXANDRA,13
2011,ASIAN AND PACIFIC ISLANDER,ALICE,27
2011,ASIAN AND PACIFIC ISLANDER,ALINA,25
2011,ASIAN AND PACIFIC ISLANDER,ALISHA,10
2011,ASIAN AND PACIFIC ISLANDER,ALIYAH,12
2011,ASIAN AND PACIFIC ISLANDER,ALLISON,17
2011,ASIAN AND PACIFIC ISLANDER,ALYSSA,26
2011,ASIAN AND PACIFIC ISLANDER,AMANDA,22
2011,ASIAN AND PACIFIC ISLANDER,AMBER,13
2011,ASIAN AND PACIFIC ISLANDER,AMELIA,14
2011,ASIAN AND PACIFIC ISLANDER,AMY,24
2011,ASIAN AND PACIFIC ISLANDER,ANGEL,22
2011,ASIAN AND PACIFIC ISLANDER,ANGELA,47
2011,ASIAN AND PACIFIC ISLANDER,ANGELINA,26
2011,ASIAN AND PACIFIC ISLANDER,ANGIE,10
2011,ASIAN AND PACIFIC ISLANDER,ANIKA,14
2011,ASIAN AND PACIFIC ISLANDER,ANNA,30
2011,ASIAN AND PACIFIC ISLANDER,ANNABELLE,10
2011,ASIAN AND PACIFIC ISLANDER,ANNIE,20
2011,ASIAN AND PACIFIC ISLANDER,ARIA,12
2011,ASIAN AND PACIFIC ISLANDER,ARIANA,15
2011,ASIAN AND PACIFIC ISLANDER,ARIANNA,11
2011,ASIAN AND PACIFIC ISLANDER,ARYA,12
2011,ASIAN AND PACIFIC ISLANDER,ASHLEY,52
2011,ASIAN AND PACIFIC ISLANDER,AUDREY,19
2011,ASIAN AND PACIFIC ISLANDER,AVA,23
2011,ASIAN AND PACIFIC ISLANDER,AYESHA,17
2011,ASIAN AND PACIFIC ISLANDER,BELLA,16
2011,ASIAN AND PACIFIC ISLANDER,BONNIE,10
2011,ASIAN AND PACIFIC ISLANDER,BRIANNA,13
2011,ASIAN AND PACIFIC ISLANDER,CATHERINE,27
2011,ASIAN AND PACIFIC ISLANDER,CECILIA,12
2011,ASIAN AND PACIFIC ISLANDER,CHARLOTTE,14
2011,ASIAN AND PACIFIC ISLANDER,CHLOE,106
2011,ASIAN AND PACIFIC ISLANDER,CHRISTINA,20
2011,ASIAN AND PACIFIC ISLANDER,CHRISTINE,11
2011,ASIAN AND PACIFIC ISLANDER,CHRISTY,12
2011,ASIAN AND PACIFIC ISLANDER,CINDY,14
2011,ASIAN AND PACIFIC ISLANDER,CLAIRE,27
2011,ASIAN AND PACIFIC ISLANDER,CYNTHIA,14
2011,ASIAN AND PACIFIC ISLANDER,DAISY,11
2011,ASIAN AND PACIFIC ISLANDER,DIYA,12
2011,ASIAN AND PACIFIC ISLANDER,EILEEN,18
2011,ASIAN AND PACIFIC ISLANDER,ELAINE,28
2011,ASIAN AND PACIFIC ISLANDER,ELENA,12
2011,ASIAN AND PACIFIC ISLANDER,ELINA,11
2011,ASIAN AND PACIFIC ISLANDER,ELIZABETH,15
2011,ASIAN AND PACIFIC ISLANDER,ELLA,25
2011,ASIAN AND PACIFIC ISLANDER,EMILY,93
2011,ASIAN AND PACIFIC ISLANDER,EMMA,75
2011,ASIAN AND PACIFIC ISLANDER,ERICA,19
2011,ASIAN AND PACIFIC ISLANDER,ERIKA,12
2011,ASIAN AND PACIFIC ISLANDER,ERIN,13
2011,ASIAN AND PACIFIC ISLANDER,ESHAL,11
2011,ASIAN AND PACIFIC ISLANDER,EVA,22
2011,ASIAN AND PACIFIC ISLANDER,EVELYN,17
2011,ASIAN AND PACIFIC ISLANDER,FATIMA,24
2011,ASIAN AND PACIFIC ISLANDER,FIONA,48
2011,ASIAN AND PACIFIC ISLANDER,GIANNA,13
2011,ASIAN AND PACIFIC ISLANDER,GRACE,33
2011,ASIAN AND PACIFIC ISLANDER,HAILEY,16
2011,ASIAN AND PACIFIC ISLANDER,HANNAH,23
2011,ASIAN AND PACIFIC ISLANDER,HELEN,10
2011,ASIAN AND PACIFIC ISLANDER,IRENE,20
2011,ASIAN AND PACIFIC ISLANDER,IRIS,26
2011,ASIAN AND PACIFIC ISLANDER,ISABEL,12
2011,ASIAN AND PACIFIC ISLANDER,ISABELLA,67
2011,ASIAN AND PACIFIC ISLANDER,ISABELLE,11
2011,ASIAN AND PACIFIC ISLANDER,IVY,35
2011,ASIAN AND PACIFIC ISLANDER,JANICE,14
2011,ASIAN AND PACIFIC ISLANDER,JANNAT,13
2011,ASIAN AND PACIFIC ISLANDER,JASMINE,31
2011,ASIAN AND PACIFIC ISLANDER,JENNIFER,18
2011,ASIAN AND PACIFIC ISLANDER,JENNY,27
2011,ASIAN AND PACIFIC ISLANDER,JESSICA,26
2011,ASIAN AND PACIFIC ISLANDER,JESSIE,18
2011,ASIAN AND PACIFIC ISLANDER,JIA,12
2011,ASIAN AND PACIFIC ISLANDER,JOANNA,38
2011,ASIAN AND PACIFIC ISLANDER,JOCELYN,15
2011,ASIAN AND PACIFIC ISLANDER,JOY,14
2011,ASIAN AND PACIFIC ISLANDER,JOYCE,22
2011,ASIAN AND PACIFIC ISLANDER,JULIA,24
2011,ASIAN AND PACIFIC ISLANDER,KAITLYN,11
2011,ASIAN AND PACIFIC ISLANDER,KAREN,22
2011,ASIAN AND PACIFIC ISLANDER,KATE,10
2011,ASIAN AND PACIFIC ISLANDER,KATELYN,14
2011,ASIAN AND PACIFIC ISLANDER,KATHERINE,21
2011,ASIAN AND PACIFIC ISLANDER,KATIE,18
2011,ASIAN AND PACIFIC ISLANDER,KAYLA,21
2011,ASIAN AND PACIFIC ISLANDER,KAYLEE,20
2011,ASIAN AND PACIFIC ISLANDER,KELLY,22
2011,ASIAN AND PACIFIC ISLANDER,KHLOE,13
2011,ASIAN AND PACIFIC ISLANDER,KYLIE,11
2011,ASIAN AND PACIFIC ISLANDER,LAUREN,13
